# BiLBO Data Export. 
#  running time, centroid_hist_x, centroid_hist_y, peak_hist_x, peak_hist_y
1.469791766565000057e+09,6.551967541936926409e+02,3.650223744451449193e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791767126000166e+09,6.552797242919301652e+02,3.650901240841693038e+02,6.410000000000000000e+02,3.810000000000000000e+02
1.469791767677999973e+09,6.551366179731659258e+02,3.652924715098946535e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791768235000134e+09,6.552924713099037035e+02,3.650272629330816585e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791768808000088e+09,6.552441179112020109e+02,3.650972341842785340e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791769358999968e+09,6.551208403146340515e+02,3.651205104936604471e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791769916000128e+09,6.553846423694791383e+02,3.649311477807511324e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791770483000040e+09,6.549886597186383597e+02,3.648738005063323158e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791771035000086e+09,6.549189228029487140e+02,3.650989954313074577e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791771590000153e+09,6.546571233271549772e+02,3.650366897736055876e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791772153000116e+09,6.550116079667444637e+02,3.650591867405924518e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791772744000196e+09,6.548363944180836143e+02,3.649939693352500854e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791773315000057e+09,6.547814316196868276e+02,3.652598855744459456e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791773883000135e+09,6.552231167274034078e+02,3.647752499721697177e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791774437000036e+09,6.549001365993397030e+02,3.649991300926175768e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791774996000051e+09,6.549437858065783757e+02,3.650830570424047323e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791775610000134e+09,6.552972371404244996e+02,3.650857060612622718e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791776160000086e+09,6.549937128435240083e+02,3.651788700591015413e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791776713999987e+09,6.549976802202869521e+02,3.652560134547611597e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791777282000065e+09,6.549888985955424232e+02,3.653358357428323302e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791777831000090e+09,6.551929677051541603e+02,3.649524812620486500e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791778392000198e+09,6.554024669730912365e+02,3.650368010738790758e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791778956000090e+09,6.555167691990702679e+02,3.650762749093993307e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791779519000053e+09,6.552222132864976629e+02,3.650967752139764571e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791780075000048e+09,6.551288546165344542e+02,3.653583867547687873e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791780638000011e+09,6.552556858911349309e+02,3.652562044554766771e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791781194000006e+09,6.550735434226852476e+02,3.649933619555882842e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791781761000156e+09,6.550424434745301596e+02,3.651169672393434666e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791782328999996e+09,6.552456734847097550e+02,3.650636134762427787e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791782878000021e+09,6.551809171363115638e+02,3.650811341936708914e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791783430999994e+09,6.551172789562192520e+02,3.654419959543875507e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791784000000000e+09,6.549538814633297079e+02,3.653394372675156205e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791784551000118e+09,6.550546042584163615e+02,3.650657874398288527e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791785108000040e+09,6.549037527051908683e+02,3.650740945208611947e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791785679000139e+09,6.550560436586856667e+02,3.650554973543911501e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791786233000040e+09,6.550281195096861211e+02,3.651134946385527087e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791786789000034e+09,6.552392324298376707e+02,3.651258061315296573e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791787353000164e+09,6.549865856944084044e+02,3.652951620875124377e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791787952000141e+09,6.552351752575780210e+02,3.649532437337128385e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791788504000187e+09,6.550833769123952379e+02,3.650910842022431098e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791789067000151e+09,6.551237062230028414e+02,3.653520319316452856e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791789624000072e+09,6.551113904021641474e+02,3.653362297075851757e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791790180000067e+09,6.552660180068592126e+02,3.653793440808851756e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791790742000103e+09,6.550036636049610479e+02,3.649669156218866419e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791791294000149e+09,6.551499058157974105e+02,3.651164225566570849e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791791847000122e+09,6.551183904161496230e+02,3.651010505749347317e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791792415000200e+09,6.551883808390399508e+02,3.651439326803569543e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791792962000132e+09,6.550184560031339061e+02,3.652990268529944160e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791793519000053e+09,6.547976266291007050e+02,3.652382714412776750e+02,6.410000000000000000e+02,3.810000000000000000e+02
1.469791794082000017e+09,6.548777637467503610e+02,3.648993276940469173e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791794631999969e+09,6.547911637797579942e+02,3.649928295819248092e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791795183000088e+09,6.544072594017219444e+02,3.643502230324886568e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791795753000021e+09,6.541256702239832066e+02,3.645673478237422387e+02,6.410000000000000000e+02,3.820000000000000000e+02
1.469791796302000046e+09,6.538032004998358389e+02,3.645136684510633245e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791796856000185e+09,6.538596570390402576e+02,3.643811932609731343e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791797419000149e+09,6.538340182921780297e+02,3.640718046912303976e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791797973999977e+09,6.541230124974773616e+02,3.647563583702516326e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791798528000116e+09,6.541431873897516880e+02,3.647348677574586304e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791799095000029e+09,6.545955055862719973e+02,3.646802919313648204e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791799641000032e+09,6.546769666666375542e+02,3.646207305710160540e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791800239000082e+09,6.544381103040343532e+02,3.646934777873645999e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791800805999994e+09,6.539607315064329214e+02,3.644237641449261673e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791801358000040e+09,6.536357480317259387e+02,3.642213509538293579e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791801907999992e+09,6.531320971241042344e+02,3.644666450796892150e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791802469000101e+09,6.524321561646122518e+02,3.642665764358711158e+02,6.410000000000000000e+02,3.790000000000000000e+02
1.469791803022000074e+09,6.526996245080925974e+02,3.638919550099744811e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791803575000048e+09,6.530022031036222643e+02,3.640891161468269388e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791804138000011e+09,6.527946356761752895e+02,3.645348539482220076e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791804685000181e+09,6.529664797353569838e+02,3.642929809835724768e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791805242000103e+09,6.529129827897612586e+02,3.644838123856857806e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791805804000139e+09,6.533297699129385592e+02,3.646079439077329880e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791806358000040e+09,6.531139668136964929e+02,3.643641920886463481e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791806910000086e+09,6.531540891248138223e+02,3.642859426511942047e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791807473000050e+09,6.531900312213498410e+02,3.643628642715640353e+02,6.410000000000000000e+02,3.790000000000000000e+02
1.469791808019999981e+09,6.534657481893333397e+02,3.643103794322984754e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791808575000048e+09,6.532547236179691481e+02,3.645515820421506987e+02,6.420000000000000000e+02,3.810000000000000000e+02
1.469791809142000198e+09,6.534321875378607274e+02,3.639774579389765563e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791809690999985e+09,6.532440877433065225e+02,3.639954499933837155e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791810248000145e+09,6.534423132397055269e+02,3.640034635393681697e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791810815000057e+09,6.533529037456542028e+02,3.639457666802571225e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791811364000082e+09,6.537959157364883822e+02,3.646320292259251801e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791811923000097e+09,6.537649157717602293e+02,3.645846009736271753e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791812486999989e+09,6.539082293847897063e+02,3.645888784213735221e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791813082000017e+09,6.534902695954480123e+02,3.645774220597210160e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791813630000114e+09,6.536477982871149379e+02,3.644657436891846487e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791814196000099e+09,6.538262997796884974e+02,3.640800566578234907e+02,6.410000000000000000e+02,3.780000000000000000e+02
1.469791814744000196e+09,6.535787295508956731e+02,3.646084203645095840e+02,6.400000000000000000e+02,3.800000000000000000e+02
1.469791815302000046e+09,6.537085677724074912e+02,3.646456256833720317e+02,6.420000000000000000e+02,3.800000000000000000e+02
1.469791815865000010e+09,6.536730610977811011e+02,3.647046886934851386e+02,6.410000000000000000e+02,3.800000000000000000e+02
1.469791816420000076e+09,6.534973060611191613e+02,3.644396816415787157e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791816971000195e+09,6.536834582321095013e+02,3.645862084128625611e+02,6.400000000000000000e+02,3.790000000000000000e+02
1.469791817538000107e+09,6.535689697188787477e+02,3.642034159496547545e+02,6.400000000000000000e+02,3.770000000000000000e+02
1.469791818084000111e+09,6.534608003184739573e+02,3.645511347305794629e+02,6.400000000000000000e+02,3.780000000000000000e+02
1.469791818637000084e+09,6.533135930567040077e+02,3.644646544329904145e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791819203000069e+09,6.529988014943292001e+02,3.646170905257799291e+02,6.390000000000000000e+02,3.770000000000000000e+02
1.469791819755000114e+09,6.531289072746786815e+02,3.644911754614312827e+02,6.410000000000000000e+02,3.770000000000000000e+02
1.469791820307000160e+09,6.530003670234888205e+02,3.639625108451818960e+02,6.390000000000000000e+02,3.780000000000000000e+02
1.469791820873000145e+09,6.533012633925534374e+02,3.646061115265746366e+02,6.390000000000000000e+02,3.770000000000000000e+02
